vehicle,line_code,date
HE702,550,2019-03-09
HE703,550,2019-03-09
HE704,550,2019-03-09
HE708,550,2019-03-09
HE709,203,2019-03-09
HE710,203,2019-03-09
HE712,603,2019-03-09
HE714,603,2019-03-09
HE715,603,2019-03-09
HE718,603,2019-03-09
HE719,200,2019-03-09
HE720,603,2019-03-09
HI001,623,2019-03-09
HI002,623,2019-03-09
HI003,180,2019-03-09
HI004,650,2019-03-09
HI005,654,2019-03-09
HI006,654,2019-03-09
HI007,658,2019-03-09
HI008,658,2019-03-09
HI009,622,2019-03-09
HI011,630,2019-03-09
HI012,619,2019-03-09
HI013,655,2019-03-09
HI014,646,2019-03-09
HI015,628,2019-03-09
HI854,673,2019-03-09
HI855,673,2019-03-09
HI857,670,2019-03-09
HI858,670,2019-03-09
HI859,668,2019-03-09
HL300,607,2019-03-09
HL302,700,2019-03-09
HL303,607,2019-03-09
HL304,700,2019-03-09
HL305,023,2019-03-09
HL306,700,2019-03-09
HL306,607,2019-03-09
HL307,700,2019-03-09
HL308,700,2019-03-09
HL309,607,2019-03-09
HL312,607,2019-03-09
HL313,023,2019-03-09
HL314,607,2019-03-09
HL315,022,2019-03-09
HL316,607,2019-03-09
HL317,700,2019-03-09
HL318,607,2019-03-09
HL319,607,2019-03-09
HL320,700,2019-03-09
HL322,700,2019-03-09
HL325,607,2019-03-09
HN403,644,2019-03-09
HN604,265,2019-03-09
HN612,209,2019-03-09
HN617,671,2019-03-09
HR029,602,2019-03-09
BN997,001,2019-03-08
BN998,001,2019-03-08
DN029,002,2019-03-08
DN027,002,2019-03-08
DN028,002,2019-03-08
BB309,010,2019-03-08
BB310,010,2019-03-08
BB302,010,2019-03-08
BB304,010,2019-03-08
BB301,010,2019-03-08
BB303,010,2019-03-08
BB307,011,2019-03-08
BB305,011,2019-03-08
BB303,011,2019-03-08
BB308,011,2019-03-08
BB310,011,2019-03-08
BB615,020,2019-03-08
BB600,020,2019-03-08
CB600,020,2019-03-08
DR104,020,2019-03-08
BB614,020,2019-03-08
BB611,020,2019-03-08
DR105,020,2019-03-08
BB613,020,2019-03-08
HB606,020,2019-03-08
BB607,020,2019-03-08
CB601,020,2019-03-08
BB612,020,2019-03-08
DR113,020,2019-03-08
DB300,020,2019-03-08
BB602,020,2019-03-08
DR115,021,2019-03-08
GR125,021,2019-03-08
CB604,021,2019-03-08
DR106,021,2019-03-08
DB025,021,2019-03-08
CB602,021,2019-03-08
HB601,021,2019-03-08
BB300,021,2019-03-08
DR107,021,2019-03-08
BB601,021,2019-03-08
DR101,021,2019-03-08
BB609,021,2019-03-08
DR104,021,2019-03-08
GB607,021,2019-03-08
DR113,021,2019-03-08
GB608,021,2019-03-08
GB600,021,2019-03-08
DR102,021,2019-03-08
GB601,021,2019-03-08
BL686,022,2019-03-08
DL305,022,2019-03-08
BL315,022,2019-03-08
DL317,022,2019-03-08
ER803,022,2019-03-08
BL696,022,2019-03-08
BL303,022,2019-03-08
CL301,022,2019-03-08
CL699,022,2019-03-08
BL494,022,2019-03-08
BL323,022,2019-03-08
BL332,022,2019-03-08
BL326,022,2019-03-08
ER800,022,2019-03-08
CL038,022,2019-03-08
BL318,022,2019-03-08
GR801,022,2019-03-08
DL316,022,2019-03-08
HL305,022,2019-03-08
CL303,022,2019-03-08
DL300,022,2019-03-08
BL694,022,2019-03-08
BL337,022,2019-03-08
BL685,022,2019-03-08
BL493,022,2019-03-08
DR804,022,2019-03-08
EL301,022,2019-03-08
DL315,022,2019-03-08
EL067,022,2019-03-08
CL039,022,2019-03-08
BL699,022,2019-03-08
BL072,022,2019-03-08
HL313,022,2019-03-08
DL311,022,2019-03-08
BL305,022,2019-03-08
DL307,022,2019-03-08
BL693,022,2019-03-08
CR804,022,2019-03-08
BL301,022,2019-03-08
BL496,023,2019-03-08
BL334,023,2019-03-08
DR805,023,2019-03-08
CR804,023,2019-03-08
DR803,023,2019-03-08
BL301,023,2019-03-08
DR800,023,2019-03-08
GR800,023,2019-03-08
BL321,023,2019-03-08
ER801,023,2019-03-08
BL074,023,2019-03-08
BL698,023,2019-03-08
BL327,023,2019-03-08
HL318,023,2019-03-08
BL336,023,2019-03-08
CL698,023,2019-03-08
BL696,023,2019-03-08
ER802,023,2019-03-08
BL335,023,2019-03-08
BL339,023,2019-03-08
BL333,023,2019-03-08
DR801,023,2019-03-08
CL699,023,2019-03-08
EL312,023,2019-03-08
BL317,023,2019-03-08
BL325,023,2019-03-08
HL321,024,2019-03-08
HL110,024,2019-03-08
GL321,024,2019-03-08
GR120,027,2019-03-08
GB602,030,2019-03-08
BB610,030,2019-03-08
BB617,030,2019-03-08
BB603,030,2019-03-08
DR100,030,2019-03-08
GR123,030,2019-03-08
BB605,030,2019-03-08
GB600,030,2019-03-08
BB498,030,2019-03-08
GB606,030,2019-03-08
BB608,030,2019-03-08
HB697,030,2019-03-08
BR108,030,2019-03-08
BB604,030,2019-03-08
CB697,030,2019-03-08
GR121,030,2019-03-08
GR124,030,2019-03-08
GR126,030,2019-03-08
HB602,040,2019-03-08
GR124,040,2019-03-08
GB608,040,2019-03-08
GB603,040,2019-03-08
HB605,040,2019-03-08
HB604,040,2019-03-08
GB604,040,2019-03-08
GR122,040,2019-03-08
HB698,040,2019-03-08
GR120,040,2019-03-08
HB601,040,2019-03-08
DB300,050,2019-03-08
DR103,050,2019-03-08
GR119,050,2019-03-08
DR102,050,2019-03-08
DR114,050,2019-03-08
GB605,050,2019-03-08
DB025,050,2019-03-08
DR118,050,2019-03-08
DR115,050,2019-03-08
HB301,060,2019-03-08
HB603,060,2019-03-08
HB302,060,2019-03-08
BC024,160,2019-03-08
BC299,160,2019-03-08
BC025,160,2019-03-08
BC026,160,2019-03-08
BI850,165,2019-03-08
BC935,165,2019-03-08
BC017,166,2019-03-08
BC021,166,2019-03-08
BI857,167,2019-03-08
BC012,168,2019-03-08
BC014,168,2019-03-08
BC005,168,2019-03-08
BC027,168,2019-03-08
BC019,169,2019-03-08
BC008,169,2019-03-08
BC599,170,2019-03-08
BC284,170,2019-03-08
BC597,170,2019-03-08
BC188,170,2019-03-08
BC598,170,2019-03-08
BC186,170,2019-03-08
BC007,171,2019-03-08
BC015,171,2019-03-08
BC283,175,2019-03-08
BC189,175,2019-03-08
BC018,175,2019-03-08
BI859,176,2019-03-08
BI858,176,2019-03-08
HI015,180,2019-03-08
HC303,180,2019-03-08
HC300,180,2019-03-08
HC302,180,2019-03-08
HI013,180,2019-03-08
BN611,181,2019-03-08
BC301,182,2019-03-08
BC500,182,2019-03-08
BC310,182,2019-03-08
BC002,182,2019-03-08
BC280,182,2019-03-08
BC501,183,2019-03-08
BC034,183,2019-03-08
BC280,183,2019-03-08
BC279,183,2019-03-08
BC278,183,2019-03-08
BN628,184,2019-03-08
BN617,184,2019-03-08
BC851,188,2019-03-08
BC852,188,2019-03-08
BN627,189,2019-03-08
BS291,194,2019-03-08
BS293,195,2019-03-08
BS292,196,2019-03-08
BS296,197,2019-03-08
BS015,198,2019-03-08
BS299,199,2019-03-08
BE715,200,2019-03-08
HE720,200,2019-03-08
BE716,200,2019-03-08
BE720,200,2019-03-08
HE715,200,2019-03-08
BE713,200,2019-03-08
GE722,200,2019-03-08
BE712,200,2019-03-08
BE718,200,2019-03-08
BE714,200,2019-03-08
HE718,200,2019-03-08
BE710,200,2019-03-08
HE714,200,2019-03-08
BE717,200,2019-03-08
HE717,200,2019-03-08
GE724,200,2019-03-08
HE716,200,2019-03-08
BD140,200,2019-03-08
HE709,200,2019-03-08
HE719,200,2019-03-08
BD139,200,2019-03-08
BA020,201,2019-03-08
HE709,202,2019-03-08
BD143,202,2019-03-08
BD145,202,2019-03-08
GD341,202,2019-03-08
BD141,202,2019-03-08
BE701,202,2019-03-08
GD345,202,2019-03-08
BE703,202,2019-03-08
BD149,202,2019-03-08
GD340,202,2019-03-08
BE704,202,2019-03-08
BD138,202,2019-03-08
BD139,202,2019-03-08
GE718,202,2019-03-08
GD342,202,2019-03-08
GE719,202,2019-03-08
GD350,202,2019-03-08
HD252,202,2019-03-08
BE721,203,2019-03-08
BE702,203,2019-03-08
BD148,203,2019-03-08
GD344,203,2019-03-08
BE709,203,2019-03-08
HE708,203,2019-03-08
BE705,203,2019-03-08
BE700,203,2019-03-08
GD343,203,2019-03-08
BE706,203,2019-03-08
BD137,203,2019-03-08
BE719,203,2019-03-08
BD135,203,2019-03-08
BD144,203,2019-03-08
GD348,203,2019-03-08
BE716,203,2019-03-08
BD139,203,2019-03-08
BC001,205,2019-03-08
BC309,205,2019-03-08
BC307,205,2019-03-08
BC305,205,2019-03-08
BC306,205,2019-03-08
BC187,205,2019-03-08
BC596,205,2019-03-08
BC002,205,2019-03-08
BC304,207,2019-03-08
BC279,207,2019-03-08
BC033,207,2019-03-08
BC308,207,2019-03-08
BC278,207,2019-03-08
BC497,207,2019-03-08
BC323,207,2019-03-08
BC324,207,2019-03-08
BC012,207,2019-03-08
BC284,207,2019-03-08
BC905,209,2019-03-08
HN604,209,2019-03-08
BA028,211,2019-03-08
BA287,211,2019-03-08
BA034,211,2019-03-08
BA033,211,2019-03-08
BA026,211,2019-03-08
BA118,211,2019-03-08
BA032,211,2019-03-08
BC929,212,2019-03-08
BI856,212,2019-03-08
BI873,213,2019-03-08
BI864,213,2019-03-08
BN411,214,2019-03-08
BN610,214,2019-03-08
BN609,214,2019-03-08
DR408,216,2019-03-08
HA617,216,2019-03-08
DR402,216,2019-03-08
BA133,216,2019-03-08
CA601,216,2019-03-08
HA601,216,2019-03-08
CA600,216,2019-03-08
CA603,216,2019-03-08
BA601,216,2019-03-08
DR403,216,2019-03-08
HA611,216,2019-03-08
CA602,216,2019-03-08
DR400,216,2019-03-08
CA010,216,2019-03-08
BA129,216,2019-03-08
CA300,216,2019-03-08
HA605,216,2019-03-08
DR406,216,2019-03-08
CI003,222,2019-03-08
CC194,222,2019-03-08
CI002,222,2019-03-08
CC297,222,2019-03-08
BC911,224,2019-03-08
BA027,225,2019-03-08
BA119,225,2019-03-08
BA136,225,2019-03-08
BA115,225,2019-03-08
BA001,225,2019-03-08
BA126,226,2019-03-08
BA124,226,2019-03-08
